Morpho_ID,Sample_Number,Morphospecies,Class,Order,Family,Genus,Species,Species_Name,Common_Name,ID_Level,Trophic,Size,Hunting Style,Intro_Native,Duplicates,In_Database,NOTES
156,36,Fly_With_Pale_Under_Abdomen,Insecta,Diptera,Muscidae,NA,NA,NA,House_Fly_and_Allies,Family,Unknown,0-2.5,NA,Unknown,NA,Yes,
157,42,Hairy_Fungus_Beetle_Sp.,Insecta,Coleoptera,Mycetophagidae,NA,NA,NA,Hairy_Fungus_Beetle,Family,Fungivore,0-2.5,NA,Unknown,NA,Yes,
158,43,Brown_Fly,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
159,45,Non-biting_Midge_Black,Insecta,Diptera,Chironomidae,NA,NA,NA,Non-biting_Midge,Family,Unknown,2.5-5,NA,Unknown,NA,Yes,
160,47,Tiny_Hemi,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
161,48,Mite_sp._1,Arachnida,NA,NA,NA,NA,NA,Aracnid,Class,Unknown,0-2.5,NA,Unknown,NA,Yes,
162,50,Ninja-star_Ceiling_Spider,Arachnida,Araneae,Uloboridae,Zosis,geniculata,Zosis_geniculata,Ninja-star_Ceiling_Spider,Species,Predator,NA,Web,Introduced,NA,Yes,
163,51,Ray_Orbweaver_sp.,Arachnida,Araneae,Theridiosomatidae,NA,NA,NA,Ray_Orbweaver_sp.,Family,Predator,NA,Web,Unknown,216 & 237,Yes,
164,53,Shiny_Flower_Beetle_sp.,Insecta,Coleoptera,Phalacridae,NA,NA,NA,Shiny_Flower_Beetle,Family,Fungivore,0-2.5,NA,Unknown,NA,Yes,
165,54,Orbweaver_Black_White,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,"184, 210",Yes,
166,57,Mosquito_sp._3,Insecta,Diptera,Culicidae,NA,NA,NA,Mosquito,Family,Hematophagous,0-2.5,Active_Hunting,Unknown,NA,Yes,Sample damaged - one wing not attached
167,11,Pale_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,NA,Unknown,67 & 142,Yes,
168,61,Dark_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,NA,Unknown,NA,Yes,
169,64,Leaf_Hopper_Pale_Green,Insecta,Hemiptera,Cicadellidae,NA,NA,NA,Leaf Hopper,Family,Herbivore,0-2.5,NA,Unknown,NA,Yes,
170,70,Pale_Brown_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
171,71,Brown_Moth,Insecta,Lepidoptera,NA,NA,NA,NA,Moth,Order,Herbivore,5-10,NA,Unknown,NA,Yes,
172,41,Pale_Spider_2,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,NA,Unknown,NA,Yes,
173,69,Narrow-waisted_Wasp_sp.,Insecta,Hymenoptera,Scelionidae,NA,NA,NA,Narrow-waisted_Wasp,Family,Parasite,0-2.5,Active_Hunting,Unknown,NA,Yes,
174,78,Black_Wasp,Insecta,Hymenoptera,NA,NA,NA,NA,Wasp,Order,Parasite,2.5-5,Active_Hunting,Unknown,NA,Yes,
175,87,Lynx_Spider_sp.,Arachnida,Araneae,Oxyopidae,NA,NA,NA,Lynx_Spider,Family,Predator,NA,Ambush_Hunter,Unknown,NA,Yes,
176,103,Mosquito_sp._4,Insecta,Diptera,Culicidae,NA,NA,NA,Mosquito,Family,Hematophagous,0-2.5,Unknown,Unknown,NA,Yes,
177,241,Orange_Headed_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Web,Unknown,NA,Yes,"Found in a web, Sample damaged - small section of mould on the bottom of one leg"
178,193,Abnormal_Head_Spider,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,NEED TO DOUBLE CHECK IF IT'S IN SAMPLES - when I was sorting before I couldn't find it to move into the new container
179,194,Sheet_Dwarf_sp._3,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
180,179,Fly_Pale_Underneath,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,2.5-5,NA,Unknown,NA,Yes,
181,167,Striped_Lynx_Spider,Arachnida,Araneae,Oxyopidae,Oxyopes,salticus,Oxyopes_salticus,Striped_Lynx_Spider,Species,Predator,NA,Ambush_Hunter,Native,148 & 116,Yes,
182,155,Sheet_Dwarf_Elongated,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,113b,Yes,113b sampled damaged - head
183,73,Mite_sp._2,Arachnida,NA,NA,NA,NA,NA,Mite,Class,Unknown,0-2.5,NA,Unknown,NA,Yes,
184,83,Dark_Brown_Hemi,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
185,84,Aphid_Clear,Insecta,Hemiptera,Aphididae,NA,NA,NA,Aphid,Family,Herbivore,0-2.5,NA,Unknown,NA,Yes,
186,85,Sheet_Dwarf_Sp. 4,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
187,89,Orbweaver_Thick_Line,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
188,92,Fly_Brown,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,2.5-5,NA,Unknown,NA,Yes,
189,93,Fly_Black,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,2.5-5,NA,Unknown,234,Yes,
190,95,Brown_Wasp,Insecta,Hymenoptera,NA,NA,NA,NA,Wasp,Order,Parasite,0-2.5,Active_Hunting,Unknown,NA,Yes,
191,110,Brown_Leaf_Hopper,Insecta,Hemiptera,Cicadellidae,NA,NA,NA,Leafhopper,Family,Herbivore,0-2.5,NA,Unknown,NA,Yes,
192,117,Non-biting_Midge_Sp._3,Insecta,Diptera,Chironomidae,NA,NA,NA,Non-biting_Midge,Family,Ominvore,2.5-5,NA,Unknown,NA,Yes,
193,141,Aphid_Red,Insecta,Hemiptera,Aphididae,NA,NA,NA,Aphid,Family,Herbivore,0-2.5,NA,Unknown,NA,Yes,
194,113a,Caterpillar_5,Insecta,Lepidoptera,NA,NA,NA,NA,Caterpillar,Order,Herbivore,10-15,NA,Unknown,121a,Yes,
195,163,Brown_Weevil_2,Insecta,Coleoptera,Curculionoidea,NA,NA,NA,Weevil,Family,Herbivore,Unknown,NA,Unknown,NA,Yes,
196,158,Coon_Bug,Insecta,Hemiptera, Oxycarenidae,Oxycarenus,arctatus,Oxycarenus_arctatus,Coon_bug,Species,Herbivore,2.5-5,NA,Native,NA,Yes,
197,183,Narrow-waisted_Wasp_sp.2,Insecta,Hymenoptera,Diapriidae,NA,NA,NA,Narrow-waisted_Wasp,Family,Parasite,2.5-5,Active_Hunting,Unknown,NA,Yes,
198,205,Mosquito_sp._5,Insecta,Diptera,Culicidae,NA,NA,NA,Mosquito,Family,Hematophagous,2.5-5,NA,Unknown,NA,Yes,
199,68,Pale_Spider_3,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,Sample damaged
200,80,Angulate_Spotted,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,Web,Unknown,NA,Yes,
201,94,Ray_Orbweaver_sp.2,Arachnida,Araneae,Theridiosomatidae,NA,NA,NA,Ray_Orbweaver_sp.,Family,Predator,NA,Web,Unknown,NA,Yes,
202,99,Fly_Pale_Brown,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
203,114,Fire_&_Thief_Ant_sp.,Insecta,Hymenoptera,Formicidae,Solenopsis,NA,NA,Fire_&_Thief_Ants,Genus,Ominvore,5-10,NA,Unknown,NA,Yes,
204,122,Fly_Small_Black_2,Insecta,Diptera,NA,NA,NA,NA,Fly,Order,Unknown,0-2.5,NA,Unknown,128a,Yes,
205,127,Mite_sp._Black,Arachnida,NA,NA,NA,NA,NA,Mite,Class,Unknown,0-2.5,NA,Unknown,NA,Yes,
206,214,Little_Hemi_2,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
207,191,Mite_sp._Red,Arachnida,NA,NA,NA,NA,NA,Mite,Class,Unknown,0-2.5,NA,Unknown,NA,Yes,
208,181,Insecta_sp.,Insecta,NA,NA,NA,NA,NA,Insect,Class,Unknown,0-2.5,NA,Unknown,NA,Yes,
209,96,Small_Black_Orb_Weaver,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Family,Predator,NA,Web,Unknown,NA,Yes,
210,97,Small_Brown_Spider_4,Arachnida,Araneae,Araneidae,NA,NA,NA,Orb_Weaver,Family,Predator,NA,Web,Unknown,NA,Yes,
211,102,Erigone_sp.,Arachnida,Araneae,Linyphiidae,Erigone,NA,NA,Dwarf_Spider,Genus,Predator,NA,Web,Unknown,NA,Yes,
212,147,Grass_Lynx_Spider_sp.,Arachnida,Araneae,Oxyopidae,Oxyopes,NA,NA,Grass_Lynx_Spider,Genus,Predator,NA,Ambush_Hunter,Unknown,NA,Yes,Sample damaged (one leg detacted)
213,104,Spider_Brown_Small,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
214,106,Sheet_Dwarf_Sp. 5,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
215,213,Red_Hemiptera_2,Insecta,Hemiptera,NA,NA,NA,NA,True_Bug,Order,Unknown,0-2.5,NA,Unknown,NA,Yes,
216,218,Black_Wasp_2,Insecta,Hymenoptera,Scolebythidae,NA,NA,NA,Wasp,Family,Parasite,2.5-5,Active_Hunting,Unknown,NA,Yes,
217,221,Aphid_Black,Insecta,Hemiptera,Aphididae,Aphis,NA,NA,Aphid (Winged),Genus,Herbivore,0-2.5,NA,Unknown,NA,Yes,
218,177,Angulate_and_Roundshouldered_Orbweavers_Sp._4,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,Web,Unknown,140,Yes,
219,108,Spider_Brown_Orb,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
220,112,Spider_Brown_Orb_2,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
221,118,Salsa_sp._2,Arachnida,Araneae,Araneidae,Salsa,NA,NA,Typical_Orbweaver,Genus,Predator,NA,Web,Native,NA,Yes,
222,121b,Sheet_Dwarf_sp._6,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
223,143,Sheet_Dwarf_Elongated_2,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
224,199,Sheet_Dwarf_sp._7,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
225,187,Pale_Spider_4,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
226,123,Pale_Spider_5,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
227,131,Sheet_Dwarf_sp._8,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
228,173,Sheet_Dwarf_sp._9,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
229,174,Angulate_Striped_Legs,Arachnida,Araneae,Araneidae,Araneus,NA,NA,Angulate_and_Roundshouldered_Orbweavers,Genus,Predator,NA,Web,Unknown,NA,Yes,
230,186,Spider_Brown_3,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,sample damaged - head and deflated/lost shape
231,212,Sheet_Dwarf_sp._10,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
232,198,Spider_Small_Brown,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
233,146,Comb-footed_Spider_sp.,Arachnida,Araneae,Theridiidae,Anelosimus,NA,NA,Comb-footed Spiders,Genus,Predator,NA,Web,Unknown,NA,Yes,
234,150,Brown_Orbweaver,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
235,152,Pale_Spider_6,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
236,169,Brown_Orbweaver_2,Arachnida,Araneae,Araneidae,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,189,Yes,
237,176,Sheet_Dwarf_Dark_Brown,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
238,190,Pale_Brown_Spider_2,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
239,215,Brown_Orbweaver_3,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
240,224,Crab_Spider_sp.,Arachnida,Araneae,Thomisidae,NA,NA,NA,Crab_Spider,Family,Predator,NA,Ambush_Hunter,Unknown,NA,Yes,
241,229,Sheet_Dwarf_sp._11,Arachnida,Araneae,Linyphiidae,NA,NA,NA,Sheetweb_and_Dwarf_Weavers,Family,Predator,NA,Web,Unknown,NA,Yes,
242,230,Brown_Spider_3,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
243,231,Spider_Pale_Brown,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
244,233,Brown_Orbweaver_4,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
245,235,Tiny_Pale_Spider_Brown,Arachnida,Araneae,NA,NA,NA,NA,Spider,Order,Predator,NA,Unknown,Unknown,NA,Yes,
246,240,Orbweaver_Light_Brown,Arachnida,Araneae,Araneidae,NA,NA,NA,Orbweaver,Family,Predator,NA,Web,Unknown,NA,Yes,
